# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en
186000 0.401158 0.145374 387.826
186500 0.401979 0.143964 380.583
187000 0.39667 0.143569 380.524
187500 0.404329 0.144911 388.889
188000 0.391082 0.142491 379.786
188500 0.405834 0.144869 389.186
189000 0.394295 0.142171 378.497
189500 0.399936 0.141607 370.096
190000 0.404429 0.141263 371.311
190500 0.391978 0.141667 390.942
191000 0.398059 0.140423 372.914
191500 0.405997 0.141565 376.133
192000 0.396166 0.139818 377.556
192500 0.394151 0.139942 378.268
193000 0.394552 0.138801 371.018
193500 0.405529 0.139684 369.814
194000 0.398314 0.137681 363.13
194500 0.401118 0.137825 369.053
195000 0.395913 0.137337 368.235
195500 0.40218 0.136404 361.847
196000 0.400758 0.13669 368.27
196500 0.400241 0.136141 368.419
197000 0.39484 0.13551 361.395
197500 0.398558 0.136898 372.147
198000 0.394774 0.136201 366.362
198500 0.408416 0.135586 363.396
199000 0.395151 0.134274 361.44
199500 0.400247 0.133476 357.556
200000 0.396892 0.135435 375.252
200500 0.403793 0.134381 363.461
201000 0.408529 0.133169 351.976
201500 0.399492 0.13239 355.922
202000 0.39927 0.132184 360.541
202500 0.402015 0.132244 354.909
203000 0.397124 0.129907 349.311
203500 0.398222 0.131044 349.38
204000 0.400367 0.132069 361.155
204500 0.397793 0.12932 348.059
205000 0.400146 0.12992 349.009
205500 0.398892 0.130113 351.502
206000 0.408513 0.129389 345.349
206500 0.394845 0.12748 347.017
207000 0.401012 0.12794 343.484
207500 0.395947 0.128236 351.746
208000 0.398632 0.127904 349.039
208500 0.401069 0.126959 343.918
209000 0.400952 0.126521 338.276
209500 0.401987 0.126305 343.793
210000 0.401652 0.127517 344.963
210500 0.399188 0.12481 334.431
211000 0.398702 0.126117 341.551
211500 0.40041 0.126518 344.365
212000 0.39678 0.124979 338.924
212500 0.398991 0.12527 340.443
213000 0.395355 0.126243 351.137
213500 0.397926 0.122935 335.71
214000 0.405767 0.123307 333.454
214500 0.393969 0.122629 331.652
215000 0.394644 0.122182 328.764
215500 0.388018 0.12219 334.013
216000 0.401403 0.124022 339.806
216500 0.398532 0.122712 342.991
217000 0.401506 0.121127 332.64
217500 0.397417 0.121462 334.344
218000 0.400095 0.120512 326.48
218500 0.399508 0.120854 331.727
219000 0.393519 0.12045 327.398
219500 0.401209 0.118852 322.464
220000 0.397559 0.119221 323.372
220500 0.403183 0.120856 337.872
221000 0.40269 0.118934 326.9
221500 0.402523 0.118723 329.292
222000 0.401532 0.116942 319.432
222500 0.399461 0.11764 316.715
223000 0.395384 0.116829 317.756
223500 0.402241 0.117806 327.549
224000 0.401472 0.118548 327.259
224500 0.399449 0.118169 322.706
225000 0.397219 0.116613 314.952
225500 0.398242 0.116495 322.415
226000 0.398799 0.115048 316.443
226500 0.398759 0.115432 314.611
227000 0.394291 0.114898 313.798
227500 0.399227 0.114986 312.63
228000 0.399141 0.112833 306.577
228500 0.403785 0.114774 318.102
229000 0.399086 0.11373 321.635
229500 0.40159 0.113458 312.51
230000 0.401188 0.114091 316.444
230500 0.396767 0.114323 322.159
231000 0.412936 0.114355 317.418
231500 0.406838 0.112413 305.71
232000 0.396356 0.113191 311.554
232500 0.397757 0.11342 319.843
233000 0.402175 0.112319 313.468
233500 0.388193 0.108614 299.169
234000 0.404106 0.111059 308.948
234500 0.399527 0.110913 309.095
235000 0.403364 0.110706 304.358
235500 0.39683 0.11038 307.246
236000 0.404975 0.109604 302.721
236500 0.39921 0.10878 297.688
237000 0.398609 0.109678 305.02
237500 0.405636 0.109699 302.083
238000 0.39638 0.107695 296.825
238500 0.397561 0.109674 310.077
239000 0.400501 0.110106 311.823
239500 0.40267 0.109968 310.466
240000 0.398148 0.107886 301.341
240500 0.400542 0.106123 288.284
241000 0.401469 0.10607 291.099
241500 0.402815 0.105816 290.781
242000 0.395298 0.105908 295.106
242500 0.402888 0.106037 296.66
243000 0.392987 0.105526 296.953
243500 0.399176 0.105819 295.575
244000 0.408945 0.104279 285.085
244500 0.392565 0.103889 290.107
245000 0.401008 0.104401 287.964
245500 0.396446 0.103837 290.853
246000 0.402689 0.103891 288.096
246500 0.394847 0.102483 284.051
247000 0.404716 0.104223 293.429
247500 0.397984 0.103907 297.616
248000 0.398235 0.104481 293.243
248500 0.40031 0.103196 286.8
249000 0.40488 0.103641 295.352
249500 0.397415 0.102638 288.782
250000 0.405393 0.102888 289.375
